"","GEOID","county","hhincome","hhincome_log","pct_pov","pct_pov_log","pct_white","pop","review_count","review_count_log","avg_rating","avg_price","n"
"151","13089021820","DeKalb County",56019,10.9336246928184,0.104628736740598,-2.16605674923699,0.254098360655738,2074,39,3.68887945411394,"4","2",1
"152","13089021822","DeKalb County",97028,11.4828579333478,0.0718562874251497,-2.5027901616809,0.614688128772636,3976,40,3.60589870606865,"3","2",3
"153","13089021823","DeKalb County",103818,11.5504909628564,0.0385416666666667,-3.02533274333028,0.41796875,3840,21,2.40609217768621,"4","1",2
"154","13089021824","DeKalb County",45524,10.726214578632,0.274492878722486,-1.25704705658145,0.278481012658228,2449,59.5,3.90598671481101,"4","1",2
"155","13089021906","DeKalb County",46238,10.7417734987623,0.223830360148098,-1.45315938316463,0.160666218034993,5944,132,4.89034912822175,"5","2",1
"156","13089021908","DeKalb County",43795,10.6875032451005,0.0991217063989962,-2.21529144718854,0.0750358166189112,5584,32,3.49650756146648,"2","1",1
"157","13089021910","DeKalb County",72313,11.1888974765066,0.121377572448551,-2.02967986901725,0.14469633361321,7146,1,0.693147180559945,"2","NaN",1
"158","13089021914","DeKalb County",54881,10.9131046796327,0.044362292051756,-2.91208452628058,0.193657395373018,3847,2,1.09861228866811,"3","2",2
"159","13089022001","DeKalb County",106969,11.5803878325,0.0657214025675417,-2.58069442973357,0.597017742544356,5298,123,4.82028156560504,"4","1",1
"160","13089022005","DeKalb County",61333,11.0242363441997,0.106619187264349,-2.14884146230563,0.097953216374269,4788,2,1.09861228866811,"5","1",1
"161","13089022007","DeKalb County",45883,10.7340678789719,0.340399002493766,-1.04868276668832,0.127201160140874,4827,53,3.34230586383396,"5","1",2
"162","13089022013","DeKalb County",50727,10.8344107064546,0.367084432717678,-0.975286157145966,0.120712401055409,3032,5,1.79175946922805,"4","2",1
"163","13089022100","DeKalb County",63810,11.0638218998322,0.185064050149905,-1.63442731204312,0.245843554101935,3669,18,2.94443897916644,"2","1",1
